;Test;Delta Oz;Theta Oz;Alpha Oz;Beta Oz;Delta O1;Theta O1;Alpha O1;Beta O1;Delta PO7;Theta PO7;Alpha PO7;Beta PO7;Delta O2;Theta O2;Alpha O2;Beta O2;Delta PO8;Theta PO8;Alpha PO8;Beta PO8;Delta PO3;Theta PO3;Alpha PO3;Beta PO3;Delta PO4;Theta PO4;Alpha PO4;Beta PO4;Delta_1;Theta_1;Alpha_1;Beta_1
S2;Resting;0.027614012;0.037335127;0.0309492;0.026820281;0.027682621;0.037277529;0.03111499;0.02706543;0.028719353;0.039010302;0.035001706;0.028701436;0.026575692;0.036807457;0.033304432;0.02463162;0.026179328;0.037686531;0.039145865;0.025798763;0.026323071;0.035391303;0.031291933;0.024191468;0.025214165;0.034060462;0.036066359;0.022626852;0.165857;4.22791;-1.96013;-0.0213065
S3;Resting;0.046334164;0.028342585;0.014756691;0.030679849;0.044953552;0.028947506;0.015919348;0.035635409;0.043547666;0.029033786;0.01737008;0.034153193;0.047698437;0.029427195;0.016210048;0.030652346;0.041173957;0.031176431;0.018778348;0.036660006;0.046036479;0.028139924;0.017396745;0.032780678;0.043215832;0.025116362;0.014914236;0.027699094;8.40988;-0.600868;-5.71189;3.07521
S5;Resting;0.012834732;0.017736995;0.05204449;0.032955682;0.012400007;0.016124658;0.072259784;0.038196785;0.012993897;0.018346612;0.088334783;0.04023591;0.013758589;0.018547953;0.0463176;0.031008582;0.012858779;0.017458106;0.052484868;0.033868035;0.009813882;0.014293734;0.05962376;0.030312679;0.012256351;0.017025516;0.0389036;0.027901963;-6.50416;-7.40945;3.5217;3.42501
S7;Resting;0.036714313;0.04827742;0.019408525;0.020379876;0.02892019;0.048353116;0.019558577;0.02285661;0.030687667;0.04875383;0.022158198;0.024900313;0.035953671;0.049791899;0.02192842;0.020554634;0.03872959;0.051349562;0.02624442;0.022609402;0.030856977;0.048827328;0.017076637;0.01796427;0.036011018;0.043994538;0.018840395;0.017793153;3.51742;11.1796;-4.78101;-2.16601
S10;Resting;0.029570732;0.028398272;0.040300565;0.021280368;0.029238581;0.02754377;0.035354279;0.021385153;0.030036058;0.02741805;0.032777321;0.022469578;0.029342003;0.028984976;0.051106221;0.02328813;0.029800264;0.030112782;0.064609535;0.026880579;0.033825257;0.029792327;0.031484479;0.019583788;0.029446895;0.027462262;0.044787417;0.019513475;1.73583;-0.56658;0.00893466;-1.62125
S11;Resting;0.013077198;0.02400815;0.065529648;0.018260107;0.012988797;0.023162683;0.065968404;0.018579216;0.011582072;0.022523042;0.064368695;0.01686566;0.012623558;0.022925016;0.075834847;0.020033552;0.014310874;0.02700817;0.10076887;0.023271175;0.011268274;0.021103677;0.077602538;0.016080302;0.012163781;0.021222139;0.098750452;0.019323881;-6.41729;-3.81581;7.55804;-3.05231
S13;Resting;0.027551842;0.035834633;0.018234474;0.049116464;0.026381795;0.032043597;0.018081622;0.049816298;0.027539422;0.033339192;0.018968263;0.053724234;0.027088543;0.034259116;0.018504986;0.049143812;0.028138362;0.034357784;0.017671325;0.047417272;0.02220981;0.030406309;0.014575219;0.038500321;0.024878934;0.033661681;0.016638607;0.041936331;-0.140049;2.2862;-5.4598;9.67115
S14;Resting;0.031958096;0.027163082;0.03760624;0.023924718;0.027337412;0.029059642;0.037913153;0.027605833;0.028588558;0.030587755;0.045238288;0.058653273;0.029608442;0.030298235;0.037854603;0.023095201;0.034113339;0.031800225;0.039603182;0.026048375;0.024513206;0.026568357;0.03498317;0.024402067;0.026389549;0.028513059;0.036407886;0.022603519;1.10125;-0.254614;-0.895231;1.06247
S15;Resting;0.006706122;0.017334292;0.091493216;0.020449905;0.00723867;0.019045004;0.108384419;0.025341438;0.006669592;0.020393701;0.094953197;0.02459672;0.007188674;0.017251322;0.081536047;0.018640702;0.008039402;0.019214304;0.083332564;0.019544464;0.00561212;0.015258125;0.072717486;0.01722147;0.006352908;0.014802217;0.059905686;0.015782037;-9.07315;-7.15621;9.36029;-2.49988
S16;Resting;0.046757788;0.043595383;0.015695152;0.019921149;0.050173441;0.041131239;0.017107165;0.023780114;0.048477491;0.042461919;0.015382712;0.021462708;0.041125427;0.04229576;0.014612445;0.019191892;0.046482609;0.043681975;0.012421646;0.021770417;0.050095884;0.034090175;0.012459813;0.014115435;0.049984423;0.038540373;0.012083001;0.013688672;9.77092;6.58219;-6.15655;-2.88046
S18;Resting;0.025320268;0.036044196;0.029270197;0.028166984;0.026172849;0.037255312;0.03197357;0.028707509;0.026559495;0.039581465;0.040322781;0.031374222;0.027041508;0.034710078;0.030686884;0.029585082;0.028186801;0.034007037;0.033278653;0.031790536;0.023308208;0.032856922;0.030935774;0.028674831;0.025410618;0.032116097;0.029087543;0.028655983;-0.234495;3.23678;-2.27974;1.64995
S19;Resting;0.023572362;0.035463899;0.032600345;0.020898804;0.024388984;0.03919041;0.038059922;0.023476282;0.024538762;0.0452352;0.050317457;0.033569312;0.024134488;0.034891655;0.031857142;0.019558937;0.027880347;0.043545408;0.045425678;0.023290918;0.02437708;0.042483628;0.04768608;0.028599599;0.023047052;0.031225597;0.035975256;0.019987895;-0.884055;5.41018;-0.584274;-0.961904
S21;Resting;0.037564373;0.038623758;0.022356766;0.022891995;0.042262083;0.037746202;0.023467832;0.025552033;0.037370584;0.039040588;0.029779698;0.028541472;0.035094418;0.035673259;0.024601943;0.023267071;0.035415248;0.034554213;0.023130411;0.022993412;0.030171169;0.030848137;0.017334258;0.018201189;0.032552548;0.031625487;0.018443592;0.018150085;4.19011;3.33365;-4.31438;-1.33204
S23;Resting;0.026117965;0.033000164;0.045580544;0.025553555;0.025094054;0.034590387;0.045650094;0.022928447;0.023592654;0.033230772;0.048916654;0.022531215;0.026824801;0.033336595;0.048010505;0.03241306;0.026053917;0.031895645;0.045066762;0.02709712;0.022367389;0.028161571;0.044674213;0.016717798;0.022589609;0.0283805;0.049532861;0.019951519;-0.861517;1.22238;0.897463;-0.575316
S24;Resting;0.027984591;0.038445413;0.028204936;0.0220497;0.029048406;0.038600362;0.029387596;0.023616796;0.026924077;0.043292751;0.033621377;0.029068746;0.031963438;0.039892401;0.03050177;0.023229068;0.035049133;0.043707323;0.034310928;0.025764647;0.025827616;0.036485318;0.033501834;0.024449591;0.031759643;0.04215194;0.035462155;0.025459348;1.56471;6.41971;-2.33845;-0.628224
S2;Resting Open;0.010806638;0.02583712;0.068988509;0.021714245;0.010771524;0.025900471;0.069505179;0.021915892;0.009924424;0.02763586;0.079541312;0.027813538;0.010096237;0.024230606;0.072817702;0.01687808;0.009971478;0.023798524;0.083872756;0.016477497;0.010342169;0.024079758;0.073887345;0.019327818;0.011827947;0.022316702;0.076956478;0.015385235;-7.34052;-2.87581;7.00156;-2.68985
S3;Resting Open;0.015262071;0.016681236;0.034593067;0.050883401;0.018358923;0.019587171;0.036547835;0.058894049;0.018410833;0.017365481;0.041214861;0.062006981;0.015415796;0.018623277;0.036382134;0.053581231;0.018375503;0.020973533;0.050887213;0.065487448;0.017590264;0.019693105;0.038641854;0.051355996;0.012935776;0.017323512;0.038573694;0.052872936;-4.58507;-6.45546;-0.736768;13.6243
S5;Resting Open;0.007526;0.010376674;0.065798095;0.045331007;0.006639572;0.011796371;0.078313407;0.05765797;0.008426817;0.011467909;0.082190801;0.06332936;0.007789546;0.009209836;0.061603544;0.039508737;0.007705987;0.009083688;0.063395546;0.042042404;0.006874643;0.010138759;0.060543915;0.040706309;0.007488846;0.00995662;0.059001727;0.033627159;-8.76092;-11.436;5.41686;8.95985
S7;Resting Open;0.021631958;0.028018275;0.03841667;0.022155952;0.017651658;0.029685408;0.040016309;0.023536836;0.018525637;0.029806465;0.044751222;0.024531252;0.021845666;0.035731782;0.046162057;0.023916554;0.019446456;0.033335832;0.057023813;0.028721709;0.049367231;0.038666333;0.034994656;0.019456925;0.038964194;0.033091573;0.037248068;0.021496857;0.482087;1.97743;-0.0176628;-1.05671
