;Test;Delta Oz;Theta Oz;Alpha Oz;Beta Oz;Delta O1;Theta O1;Alpha O1;Beta O1;Delta PO7;Theta PO7;Alpha PO7;Beta PO7;Delta O2;Theta O2;Alpha O2;Beta O2;Delta PO8;Theta PO8;Alpha PO8;Beta PO8;Delta PO3;Theta PO3;Alpha PO3;Beta PO3;Delta PO4;Theta PO4;Alpha PO4;Beta PO4;Delta_1;Theta_1;Alpha_1;Beta_1
S16;Resting;0.018132716;0.022059064;0.07140498;0.022981415;0.018648165;0.021418712;0.071081366;0.025044447;0.017801854;0.022172886;0.061741799;0.022935389;0.016260783;0.020742377;0.070247886;0.021596033;0.015280317;0.020568273;0.067373182;0.022188975;0.013520736;0.016254191;0.075978183;0.01792901;0.012837233;0.016985389;0.08934799;0.019101747;-4.01521;-4.30751;6.21111;-4.47878
S18;Resting;0.018743627;0.03327062;0.035703177;0.032399878;0.015141944;0.03644078;0.038279791;0.036290258;0.01556389;0.041803872;0.048786004;0.040905677;0.022475719;0.036690279;0.03442728;0.034410716;0.017864798;0.033434789;0.040657127;0.037900037;0.0150235;0.03527331;0.040231548;0.032774819;0.017206082;0.031524219;0.036792684;0.033412146;-3.18697;6.97939;-1.94344;2.43581
S19;Resting;0.012560379;0.028016371;0.064792631;0.015759287;0.01405708;0.030999572;0.067428135;0.017304209;0.015462651;0.03362063;0.065747965;0.022877147;0.01164485;0.02687243;0.062844657;0.015098253;0.017990217;0.035225066;0.081904594;0.020289809;0.013075147;0.03435789;0.085457781;0.020660612;0.010291151;0.02755393;0.069090649;0.014982833;-5.43257;3.6845;5.96249;-6.31265
S22;Resting;0.014496297;0.016619548;0.039696008;0.054360523;0.014014685;0.016670157;0.041357188;0.054610569;0.013868098;0.016093969;0.039776818;0.053541748;0.01228927;0.016928062;0.043592666;0.053933418;0.012174709;0.018869477;0.040718752;0.053387679;0.013646959;0.015229665;0.03932469;0.052875776;0.012444041;0.015863728;0.046722608;0.054232568;-5.56166;-6.74676;-1.35512;11.9179
S24;Resting;0.008399111;0.007447936;0.084911482;0.006367291;0.008404777;0.007926498;0.078180917;0.006918917;0.008883473;0.008693306;0.111783888;0.008874833;0.00772029;0.007958444;0.122312652;0.00704859;0.007094702;0.008819438;0.142116514;0.008631026;0.008007909;0.007367922;0.077641373;0.00692914;0.007050458;0.007702342;0.173091256;0.008332355;-8.64252;-13.0701;15.5118;-11.6101
S2;Read left;0.033547681;0.038823872;0.024760202;0.029048607;0.033618795;0.038770967;0.024925768;0.029225585;0.03324773;0.038332765;0.026621639;0.032042559;0.032683032;0.037761911;0.023735797;0.028315779;0.032484108;0.036972993;0.025335072;0.029242338;0.029557871;0.034988883;0.022408087;0.025169441;0.030910888;0.03277316;0.019603501;0.022401384;5.34591;8.06077;-5.64742;-1.3438
S3;Read left;0.050241246;0.027733746;0.016829801;0.029160275;0.052032665;0.028355082;0.019663938;0.033568743;0.052466198;0.029501733;0.019799479;0.036764381;0.049302795;0.026435919;0.016522637;0.02877416;0.049992446;0.026556846;0.019047071;0.031239273;0.045990701;0.026265772;0.014685932;0.028614061;0.043969499;0.023854988;0.014137561;0.026995779;15.005;0.764921;-7.31977;0.0267849
S5;Read left;0.020260167;0.023232453;0.047468138;0.031701687;0.021904814;0.026083344;0.055157405;0.039404554;0.02369815;0.024964562;0.059712308;0.040022643;0.024792102;0.029855881;0.045490883;0.031480839;0.019933741;0.024187003;0.044508385;0.030933053;0.019322332;0.01974103;0.049376147;0.028967037;0.017671432;0.020959336;0.039901677;0.025484868;-1.1157;-1.26006;0.460889;0.909248
S14;Read left;0.03115314;0.021398537;0.03577124;0.035240087;0.031068198;0.021363062;0.050738518;0.054505925;0.034597503;0.023545073;0.047771198;0.061529804;0.031502015;0.023237995;0.038749134;0.043372141;0.032747594;0.024080555;0.040181583;0.048937705;0.028190617;0.018295378;0.024700652;0.023582363;0.027114841;0.018305247;0.020996563;0.020714505;4.51716;-3.24806;-2.45023;4.89325
S15;Read left;0.03231554;0.027892679;0.042597642;0.021786967;0.03561607;0.029646325;0.04783169;0.02365437;0.036579272;0.02975235;0.045241252;0.023156647;0.030477265;0.027436536;0.040731003;0.021757327;0.027708581;0.027436184;0.041419005;0.022619909;0.023798583;0.023754823;0.040617895;0.018850399;0.022308207;0.023267443;0.038852785;0.01916935;3.81489;0.802005;-1.10137;-4.53304
S16;Read left;0.046213655;0.039199464;0.016665528;0.01956352;0.049042445;0.040151938;0.016658287;0.020543109;0.048011754;0.039802486;0.016621213;0.020560542;0.04873545;0.04069613;0.016614888;0.019762589;0.049325842;0.041214041;0.017751838;0.020902139;0.037355105;0.032450577;0.014950295;0.016691297;0.044153127;0.037720006;0.015745723;0.017668961;13.221;9.45064;-7.51053;-5.62967
S18;Read left;0.01985731;0.027170392;0.033255843;0.038321782;0.020579943;0.029977433;0.038326163;0.047536323;0.021806077;0.035148897;0.048109612;0.064223707;0.019441075;0.027235473;0.032261025;0.04004687;0.01872163;0.028008347;0.036138441;0.041026723;0.017842454;0.025553766;0.035632197;0.037988251;0.015445164;0.023206015;0.029708157;0.032015416;-2.25985;1.48862;-2.68023;5.96934
S19;Read left;0.017941331;0.034165995;0.041034714;0.02620962;0.020328117;0.038246496;0.047909033;0.029186373;0.021859644;0.040207085;0.054264085;0.040700988;0.016830297;0.032996457;0.038137563;0.024508244;0.017710059;0.037599694;0.045381141;0.026690397;0.019487889;0.039611913;0.050802726;0.028365887;0.014860837;0.029885265;0.035457287;0.02198267;-2.61731;7.40336;-0.54323;-1.33486
S22;Read left;0.029384023;0.020933548;0.01540377;0.056180382;0.029557964;0.020440874;0.015289055;0.056504721;0.031096529;0.020291543;0.014427094;0.056926029;0.02789534;0.020460742;0.01605237;0.055935827;0.026468112;0.020443045;0.014995098;0.054910828;0.025456869;0.01902076;0.015891779;0.055598689;0.022737188;0.01959346;0.017745224;0.055044404;2.56559;-4.14493;-7.70192;12.9245
S24;Read left;0.028650785;0.02675397;0.029314319;0.024770208;0.029638675;0.028683267;0.0356953;0.044879065;0.031579133;0.032166474;0.045449236;0.053023565;0.028519967;0.027834828;0.036123767;0.031744045;0.029162712;0.030185641;0.039777063;0.039207535;0.024428585;0.023066498;0.030380133;0.01935441;0.023550752;0.024774485;0.044083961;0.019098732;2.78758;1.2486;-2.55626;0.865891
