;Test;Delta Oz;Theta Oz;Alpha Oz;Beta Oz;Delta O1;Theta O1;Alpha O1;Beta O1;Delta PO7;Theta PO7;Alpha PO7;Beta PO7;Delta O2;Theta O2;Alpha O2;Beta O2;Delta PO8;Theta PO8;Alpha PO8;Beta PO8;Delta PO3;Theta PO3;Alpha PO3;Beta PO3;Delta PO4;Theta PO4;Alpha PO4;Beta PO4
S2;Resting Open;0.027614011536368162;0.03733512679251095;0.030949200200704307;0.026820280719264414;0.027682621417101635;0.03727752869828144;0.031114989596823135;0.027065429575813718;0.028719352774883987;0.03901030189114332;0.035001705620324966;0.028701436145005043;0.026575691645705005;0.036807456611700755;0.03330443195389918;0.024631620483638178;0.026179328115069147;0.037686531181831934;0.039145865415834945;0.025798763039302685;0.02632307141612737;0.035391303420321235;0.03129193281435972;0.02419146783985631;0.02521416492998763;0.03406046178180421;0.036066358649859596;0.02262685212763079
S3;Resting Open;0.04633416390627593;0.028342585132875183;0.014756691000044604;0.030679849387427092;0.044953551850408356;0.028947505970633437;0.01591934805618778;0.035635409033491196;0.04354766551803173;0.029033785724605948;0.01737007950984086;0.0341531929559902;0.047698436771170395;0.02942719490824869;0.01621004825296577;0.030652346184933257;0.04117395682209237;0.031176431483560776;0.018778347854795718;0.036660006339903836;0.046036479197758676;0.02813992433824769;0.017396744968034016;0.032780678081949496;0.04321583228436877;0.025116361826772;0.014914235623555837;0.027699094044280725
S7;Resting Open;0.03671431264436692;0.048277420009014;0.019408525200183716;0.02037987599912829;0.028920190093837905;0.04835311624385646;0.0195585771545409;0.022856610373410663;0.030687667095948383;0.048753830051701474;0.022158198277716958;0.024900312833884244;0.035953671471012735;0.04979189880484057;0.02192842014539055;0.020554633517117327;0.03872959029772205;0.05134956178751463;0.02624442009980207;0.022609401521279486;0.030856976619761445;0.04882732818131264;0.017076636840181496;0.01796426973899266;0.0360110178788551;0.04399453836787719;0.018840395403881046;0.017793153491827786
S10;Resting Open;0.029570732223082912;0.028398272257515685;0.04030056515204905;0.0212803676790497;0.029238581002412816;0.027543770190186608;0.03535427897245086;0.02138515312517449;0.03003605762402853;0.027418049854875552;0.032777321109571426;0.02246957787418248;0.02934200317501095;0.02898497557667831;0.051106220952315116;0.023288130246757684;0.029800263692732972;0.030112781875379472;0.06460953494751294;0.026880578764036645;0.03382525731643728;0.029792326581134114;0.03148447942517511;0.019583788281988167;0.02944689508345381;0.02746226215525455;0.04478741708430943;0.019513475029342062
S13;Resting Open;0.027551841820533378;0.03583463312134236;0.018234473587951387;0.049116464051326414;0.02638179451310667;0.03204359743856246;0.018081622058636115;0.04981629778430212;0.027539422493869693;0.0333391918943321;0.018968263003546725;0.053724234023975616;0.02708854303590936;0.03425911616447548;0.018504985547710108;0.04914381168879976;0.028138362007473782;0.03435778418347639;0.017671325184730573;0.0474172719611726;0.022209809726051064;0.03040630887751364;0.014575219428305882;0.038500321071521314;0.024878933882792022;0.03366168111644003;0.01663860672382521;0.04193633142604093
S14;Resting Open;0.03195809597308744;0.027163082387890745;0.03760624007072455;0.02392471815168088;0.02733741229110125;0.02905964201407862;0.037913153306096015;0.0276058334702293;0.028588557781166778;0.030587754900005048;0.04523828827292306;0.058653273340170724;0.02960844196794575;0.030298235345253444;0.037854602541682096;0.023095200625853237;0.03411333864777718;0.03180022499500565;0.0396031821064901;0.026048375471816366;0.02451320552122613;0.026568356914397875;0.03498316965675482;0.024402067407251524;0.02638954885844945;0.0285130587530889;0.03640788640197424;0.022603519489072948
S15;Resting Open;0.0067061224358734295;0.017334292146953468;0.09149321649076152;0.020449904969961647;0.007238670295959348;0.019045003555686953;0.1083844192738412;0.025341438220431067;0.006669592266718042;0.020393700709097042;0.09495319660222436;0.02459671978573949;0.00718867377892206;0.017251321606391753;0.08153604697453222;0.018640701772085457;0.008039402272933623;0.019214304089142414;0.08333256412654452;0.019544464398849264;0.0056121198275013474;0.015258125011924048;0.0727174858411098;0.0172214695481236;0.006352907899131432;0.014802217392227647;0.059905686359456596;0.015782037459886468
S16;Resting Open;0.046757788351652674;0.04359538348694858;0.01569515220041133;0.01992114895170131;0.050173440682239744;0.0411312392327982;0.017107164801380692;0.02378011353914061;0.04847749126086137;0.04246191897731053;0.01538271244854822;0.021462707880157045;0.04112542686797105;0.04229575959328382;0.014612444584037534;0.01919189166064322;0.046482608624944084;0.043681974900088016;0.012421646368723905;0.021770417197393668;0.050095884458596605;0.034090175435581946;0.01245981291084435;0.014115435424666653;0.049984423031166854;0.03854037277184225;0.012083001131662104;0.013688671649740258
S18;Resting Open;0.025320267808292104;0.03604419632389001;0.029270196912565;0.028166984090780618;0.026172848788975862;0.037255312106948484;0.031973570119551015;0.028707509054104397;0.02655949542384773;0.039581465170525625;0.040322781377046604;0.03137422205573236;0.027041508148447406;0.034710077696002456;0.030686884081979122;0.02958508238545692;0.02818680124170183;0.034007036659875686;0.03327865313977604;0.0317905357826565;0.023308208465229824;0.03285692236668949;0.030935774306047666;0.028674831134456034;0.02541061787933028;0.032116097150246686;0.02908754315266686;0.02865598306534553
S19;Resting Open;0.02357236182952719;0.035463898541018085;0.03260034499917801;0.02089880389382547;0.024388983991493154;0.039190409626679815;0.03805992208793263;0.023476282468044393;0.02453876189766509;0.04523519995314902;0.05031745651352612;0.033569312381676035;0.024134487843082957;0.03489165484430226;0.03185714173906489;0.019558937215565945;0.027880346758097762;0.04354540804131972;0.0454256782146885;0.02329091795073143;0.024377080246537047;0.04248362760663836;0.04768607952216766;0.028599598626865536;0.023047051671052622;0.031225596698402296;0.03597525575973735;0.01998789490660479
