;Test;Delta Oz;Theta Oz;Alpha Oz;Beta Oz;Delta O1;Theta O1;Alpha O1;Beta O1;Delta PO7;Theta PO7;Alpha PO7;Beta PO7;Delta O2;Theta O2;Alpha O2;Beta O2;Delta PO8;Theta PO8;Alpha PO8;Beta PO8;Delta PO3;Theta PO3;Alpha PO3;Beta PO3;Delta PO4;Theta PO4;Alpha PO4;Beta PO4
S5;Image;0.03905828962701877;0.039403434188436;0.026518441050975415;0.01881365048238271;0.048649264576486974;0.04060661674673407;0.030686691770908277;0.020854391753959957;0.04277967335648638;0.03924154654888423;0.030312878836398566;0.02013352107378513;0.04121218034231493;0.0375427173467399;0.024692615205083233;0.01789845567207637;0.041117731189632654;0.03837959274049262;0.024829816906737447;0.01823590374505908;0.03576985821307652;0.032831532819861196;0.026848836445700207;0.015821028914492805;0.03322123059589886;0.032497391599471986;0.021925060045395472;0.01562200223479095
S7;Image;0.05473432015091679;0.0491231849371501;0.01037393432133952;0.012760771739806892;0.0532458159634612;0.04934413111956648;0.01016726266017713;0.013488541694619069;0.05453377304988815;0.050056473359149076;0.010737981717484782;0.014348272284285443;0.05801198580587078;0.048834773830108216;0.010282479070159459;0.013473404861073745;0.05619238213505214;0.04525164948165432;0.011523840307694027;0.01585390636131157;0.043471686447757465;0.0400946012028571;0.009142359513005804;0.010935289657251317;0.047947174287710746;0.03839899352403248;0.0093425290107782;0.010249573277859558
S10;Image;0.051073111812639266;0.04144198152252504;0.01760606435698001;0.026782997052753044;0.038224484536507876;0.03472091939679711;0.016157922708224536;0.026404487511163106;0.03572598025820865;0.03434772639630986;0.015290113102206996;0.02628702945435997;0.04103255909714967;0.03761984553455548;0.018035851439106673;0.030272812930443743;0.04524554642903311;0.0387676385031212;0.019715026553153308;0.036679465962515284;0.035419750685825216;0.030302624541052064;0.014583396293845452;0.020692477081134857;0.03686876305280983;0.03219576211210103;0.015532622702661281;0.02125161402306598
S11;Image;0.04095379130432641;0.03833494032420099;0.013709164305173547;0.025283730644991745;0.0431567234131115;0.04048070672935144;0.01646844796515242;0.031489206201670714;0.055922698928344144;0.04943972439819642;0.019621303183739485;0.03194899954723056;0.04007660872728495;0.038302578667392374;0.015397152973285375;0.03223232704742649;0.04077189323967391;0.036115812990606296;0.015820768293193357;0.03693069417587845;0.03884546394131763;0.034369408374827284;0.011350305142660454;0.018323364741711638;0.03498334492796628;0.034647609441395576;0.01222075814659802;0.02090180295358777
S13;Image;0.0021686668178985988;0.005411191602253404;0.006368753674993293;0.022127801141379803;0.001212849088569101;0.0025773824091372445;0.003012334544615249;0.00946044265716149;0.0004262345140566115;0.00048420789697659744;0.00034072528881708505;0.0011450738544278656;0.005914814038009937;0.01528105554829521;0.018695647488533293;0.06476586774167435;0.006898497996268312;0.017758922029098265;0.022001559265212276;0.0761469121208778;0.008673508349760188;0.021755708798881453;0.027106322459789254;0.0904847400522393;0.011491284546304823;0.02940041187505548;0.03678708245423977;0.12294405779518648
S14;Image;0.034159109281448725;0.025338672742228743;0.028346616085016332;0.029856933158573507;0.03574769564211829;0.027463778392081237;0.03979278582213734;0.04352999414642309;0.04272814116996554;0.029419520643649846;0.03857689880308297;0.056332869724224494;0.0378462848371347;0.028360830076240972;0.0317745560389573;0.036049170668261944;0.03671404464802614;0.025785074855443815;0.03143256122570126;0.041617285616306676;0.031820703774457344;0.02355724076678371;0.02233605784722937;0.021238497357673358;0.03128055628756844;0.022708731037665963;0.02055210412078388;0.020237093130995
S15;Image;0.06452143987434253;0.038126361876180584;0.010685268564289972;0.009464637836300475;0.07045132585097008;0.040501965776206295;0.011562580694597941;0.010681126335554954;0.07197827742349391;0.041226101906342114;0.011745666381613729;0.011360385765749104;0.06181776430871443;0.036893266455663015;0.01060768997670362;0.00950031189786961;0.05495757352266962;0.0334677206911475;0.011149951551089029;0.00972399110148908;0.044880537587571594;0.027459085953873846;0.009686190912990226;0.007520167909752368;0.041011375823616844;0.02597413723868391;0.009101194970742296;0.007550995072551896
S16;Image;0.04930575455590549;0.03895389763345695;0.013285299247230058;0.01598584721480684;0.055693016823299954;0.042988877310247836;0.014977623896713976;0.017926701772079154;0.05171341580977091;0.03890433188768643;0.013726852012462128;0.019200519843735553;0.05434821317181748;0.04161413627679018;0.013579717597963323;0.016934989724675015;0.052921265947377165;0.041026397497351125;0.01384538815270078;0.022240077370036304;0.03910817827246157;0.03051524095489291;0.011143687076951451;0.013227341362184362;0.0439676127670467;0.03453866510405851;0.011532345662033596;0.013460089396702568
S18;Image;0.03309668532167768;0.03391597488511401;0.02255967716583397;0.03683559601739325;0.032941394436995924;0.03540845650593533;0.02506285627600462;0.04650276266428415;0.03320837859107239;0.036152460639015595;0.026755269489845388;0.05776054685146156;0.032620480865273485;0.033268670925414245;0.021304081790948698;0.036745808296998195;0.03096143335706897;0.0323527493577643;0.019999507825277086;0.0337676082739227;0.026860856146467826;0.03196905982039306;0.022062610006365117;0.02998610363996598;0.02475154046147716;0.027749372709320545;0.018674916280708057;0.024148630792709118
S19;Image;0.026862665681937268;0.0373132316484509;0.03077898589010662;0.020864601009917702;0.02868202019305789;0.040283224524867677;0.03562923916048341;0.023466011187122496;0.026697523497944985;0.040696394017331584;0.03918923255059052;0.03263619852262868;0.02718426598443262;0.03681130151101572;0.03052357513702847;0.02009354838454567;0.02806842742056392;0.039674268204699055;0.041031784671147084;0.0234388528801539;0.02324251906587091;0.035579486179564385;0.043385392492691716;0.023576483833675874;0.020050117143577496;0.028706379710259494;0.02997784957550765;0.017974100624424394
S21;Image;0.03806990092155112;0.05200975038842442;0.018404727705029978;0.017179666353513853;0.03988650284784125;0.056057099573157146;0.019643591480322183;0.019049587765245832;0.038088095412776704;0.05567866570942192;0.020010572422647997;0.020449443251892088;0.03824577037400538;0.048581302990234033;0.016842680914903096;0.016350082846423725;0.03681265656858291;0.042675431563295785;0.014897994554788557;0.01720206568920192;0.028872564735401125;0.03871844607708608;0.013366148684152776;0.013219727482682414;0.028604913354244102;0.0362437023522432;0.012448568038185793;0.012677466720053541
